Timestamp,Nombre,Apellido Paterno,Apellido Materno,Edad,Ciudad,Estado,Teléfono personal,Nombre del Padre o Tutor,Teléfono del Padre o Tutor,Fecha de Nacimiento,Hobbies,URL Facebook,URL Instagram,URL X (Twitter),Foto,Nivel de estudio actual,Nombre de tu escuela:,Promedio Acádemico,Semestre en caso de estar en Preparatoria,Clase (Año de graduación),Posición Ofensiva,Posición Defensiva,Equipos Especiales,Altura en mts ,Peso en Kgs ,40 YD Dash ,Bench Press Max 1 REP,Squat max 1 rep,Nombre del equipo actual,Nombre del Head Coach ,Teléfono del Head Coach,Logros,Lesiones previas,Link Highlights 1,Link Highlights 2,Link Highlights 3
12/05/2024 11:32,Jorge,Del Valle,Zepeda,17,Atizapan,Estado de México,290-000-0000,Elias Del Valle,255-000-0000,06/12/2007,"Ciclismo, Padel",,,https://x.com/borregoscem,https://drive.google.com/open?id=1I0rKR6Cuc32vyOLMaqRsG9FBIuh97XDW,Preparatoria,Riojas y Olivares,9.2,5to,2025,QB,Ninguna,Ninguna,1.82,82,5.15,145,200,Riojas y Olivares,Eduardo Rámirez,255-000-0000,MVP,N/A,https://www.youtube.com/watch?v=dbfVhp3m1K8,,
12/05/2024 11:38,Rodrigo,Ocampo,Ceja,17,Guadalajara,Jalisco,333-000-0000,Alejandro Ocampo,331-000-0000,3/17/2007,"Fútbol americano, videojuegos, gimnasio",,https://www.instagram.com/borregoscem_/?hl=en,https://x.com/borregoscem,https://drive.google.com/open?id=1io8hi9y3IUgtdFVw9ao7li78_-L0HfdM,Preparatoria,Colegio Jalisco,9.2,5to,2025,WR,CB,Ninguna,1.74,75,4.8,210,230,Guerreros,Fernando Ramírez,333-000-0000,Mejor WR de la liga,,https://www.youtube.com/watch?v=dbfVhp3m1K8,https://www.youtube.com/watch?v=GgIaW9V31cE,
12/05/2024 11:43,Roberto,Gómez,Castillo,16,Monterrey,Nuevo León,812-000-0000,María Castillo,811-000-0000,7/22/2008,"Basketball, música, cine",,https://www.instagram.com/borregoscem_/?hl=en,https://x.com/borregoscem,https://drive.google.com/open?id=1Tq84cmMI5JHln0YElabqk4S24jxCgpEM,Preparatoria,Prepa Tec Monterrey,8.8,4to,2026,Ninguna,LB,Ninguna,1.83,88,5.04,250,240,Prepa Tec Monterrey,Luis Fernández,818-000-0000,Campéon nacional,Fractura de antebrazo izquierdo,https://www.youtube.com/watch?v=fo8a4tvqLdE,,
12/05/2024 11:48,Alejandro,Ramírez,Vargas,17,León,Guanajuato,477-000-0000,Ricardo Ramírez,477-000-0000,10/15/2007,"Pesas, videojuegos, natación",,https://www.instagram.com/borregoscem_/?hl=en,https://x.com/borregoscem,https://drive.google.com/open?id=1zqT9aX9dyNqBxk1lV16hI0em8wMRoqBm,Preparatoria,Instituto Guanajuato,8.5,5to,2025,OT,Ninguna,Ninguna,1.91,120,5.3,308,396,Toros de Guanajuato,Javier Domínguez,477-000-0000,"All-State
Capitán del equipo",N/A,https://www.youtube.com/watch?v=-lq19f3gj3s,,
12/05/2024 11:55,Daniel,Gutiérrez,Morales,17,Monterrey,Nuevo León,812-000-0000,Juan Gutiérrez,811-000-0000,07/11/2007,"Entrenamiento funcional, senderismo, videojuegos",https://www.facebook.com/BorregosMonterrey/?locale=es_LA,https://www.instagram.com/borregoscem_/?hl=en,,https://drive.google.com/open?id=1wKlDJJPmFcZ5SzAFcyoaiEQyR2g_atVL,Preparatoria,Prepa Tec Monterrey,9,5to,2025,RB,Ninguna,Returner,1.78,88,4.7,220,330,Borregos Prepa Tec Monterrey,Luis Fernández,818-000-0000,"1,100 yardas terrestres en la temporada pasada",Desgarre de Pantorrila hace 2 años,https://www.youtube.com/watch?v=B2AkYERpVMQ,,
12/05/2024 12:08,Ricardo,Salazar,Torres,18,Hermosillo,Sonora,662-000-0000,Manuel Salazar,662-000-0000,02/10/2006,"Levantamiento de pesas, natación, videojuegos",https://www.facebook.com/BorregosMonterrey/?locale=es_LA,https://www.instagram.com/borregoscem_/?hl=en,https://x.com/borregoscem,https://drive.google.com/open?id=1_k391XUZhAQQNOfvw_vRbTC26XffmpYQ,Preparatoria,Sonora Norte,8.8,6to,2025,Ninguna,NT,Ninguna,1.92,130,5.8,340,450,Toros Sonora Norte,Arturo Pérez,662-000-0000,Líder en TFL,Esguince leve del tobillo izquierdo,https://www.youtube.com/watch?v=i4pW18Ntw3k,https://youtu.be/pHnZn1d6KWY?si=NmszBt9IGjK2wq8O,https://youtu.be/B5Ozz3rgKHU?si=W1u8l_sAwyyIUt60
12/05/2024 12:15,Sebastian,Martínez,López,17,Puebla,Puebla,222-000-0000,Luis Martínez,222-000-0000,4/15/2007,"Lectura, análisis de juegos, entrenamiento físico",,https://www.instagram.com/borregoscem_/?hl=en,https://x.com/borregoscem,https://drive.google.com/open?id=1XzdvLyctOPO7ng8vyDtI9pNMYceQaldz,Preparatoria,Instituto Americano Puebla,9.5,5to,2025,QB,Ninguna,Ninguna,1.88,92,5.04,225,325,Halcones del Instituto Americano,Roberto Delgado,222-000-0000,MVP en Juvenil Nacional,N/A,https://youtu.be/4zZ2hZIoWKI?si=UvA3J0gvCq8Vkelz,,
12/05/2024 12:19,Luis,Gómez,Ríos,16,Querétaro,Querétaro,442-000-0000,Carlos Gómez,442-000-0000,9/25/2008,"Ciclismo, videojuegos",,https://www.instagram.com/borregoscem_/?hl=en,,https://drive.google.com/open?id=14cvjv_8XmR4TQ5CCpdPLQQSuRgqDxc3b,Preparatoria,Colegio del Valle de Querétaro,8.9,4to,2026,WR,Ninguna,Returner,1.76,68,4.9,160,280,Lobos del Colegio del Valle,Fernando Salinas,442-000-0000,"Líder en recepciones y yardas aéreas en la temporada pasada (900 yardas, 12 touchdowns)",Esguince leve en la muñeca en 2022,https://youtu.be/pD2MDGRAae0?si=S9lmEElfKJkaLMK7,,
12/05/2024 12:24,Andrés,Ruiz,Férnandez,17,Guadalajara,Jalisco,333-000-0000,María Fernández,333-000-0000,1/20/2007,"CrossFit, natación",https://www.facebook.com/BorregosMonterrey/?locale=es_LA,,https://x.com/borregoscem,https://drive.google.com/open?id=1vx2lIuy1lUxvJKmfuNZMAUd7N4mOxa3E,Preparatoria,Instituto Guadalajara,9.1,5to,2025,Ninguna,CB,Returner,1.79,78,4.8,195,290,Zorros del Instituto Guadalajara,Ignacio Salazar,333-000-0000,5 intercepciones durante la temporada 2024 en Juvenil,N/A,https://youtu.be/pyg_VPAfh8o?si=5SMRZKp8YJZiocq8,,
12/05/2024 12:29,Eduardo,Chávez,Mendoza,18,Monterey,Nuevo León,818-000-0000,Roberto Chávez,818-000-0000,8/15/2006,"Lectura, pesca",,https://www.instagram.com/borregoscem_/?hl=en,,https://drive.google.com/open?id=1NXr25daniMVITTv6ne6eNWh0Sd0y003j,Preparatoria,Prepa Tec,8.7,6to,2025,Ninguna,LB,Ninguna,1.83,92,5.3,255,375,Borregos Prepa Tec Monterrey,Luis Fernández,818-000-0000,45 Tackles en 2024,Contusión leve en el hombro derecho en 2022,https://youtu.be/nYFeqHKYHUA?si=w4UQyMAHNAMi6mZs,,
