Timestamp	Nombre	Apellido Paterno	Apellido Materno	Edad	Lugar de nacimiento	Fecha de Nacimiento	Ciudad	Estado	Teléfono personal	Nombre del Padre o Tutor	Teléfono del Padre o Tutor	Correo del Padre o Tutor	Foto	Nivel de estudio actual	Nombre de tu escuela:	Promedio Acádemico	Clase (Año de graduación)	Posición Principal	Posición Defensiva	Equipos Especiales	Altura	Peso	Club o equipo actual	Nombre del Head Coach 	Teléfono del Head Coach	Logros	Lesiones previas	Link Highlights 1	Link Highlights 2	Link Highlights 3	Certificación	Aviso de privacidad	Carpeta	Nombre imagen	40 YD	Vertical	3 cone	Shuttle	Broad	TL %	Rating Publico	Comprometido	Email Address	X (Twitter)	Instagram
	Jorge	Del Valle	Zepeda	17		6/12/2007	Atizapan	Estado de México	290-000-0000	Elias Del Valle	255-000-0000	LG@example.com		Preparatoria	Riojas y Olivares	9.2	2025	QB	Ninguna	Ninguna	1.82	82	Riojas y Olivares	Eduardo Rámirez	255-000-0000	MVP	N/A	https://www.youtube.com/watch?v=dbfVhp3m1K8					imagenes/Jorge_Del Valle_Zepeda.jpg	Jorge_Del Valle_Zepeda	4.94	30	7.2	4.3	102		98	Borregos CEM	jdelvalle@football.com	@jdelvalle	@jorge10delvalle
	Rodrigo	Ocampo	Ceja	17		3/17/2007	Guadalajara	Jalisco	333-000-0000	Alejandro Ocampo	331-000-0000	parent47@example.com		Preparatoria	Colegio Jalisco	9.2	2025	CB	Ninguna	Ninguna	1.74	75	Guerreros	Fernando Ramírez	333-000-0000	Mejor WR de la liga	N/A	https://www.youtube.com/watch?v=dbfVhp3m1K8	https://www.youtube.com/watch?v=GgIaW9V31cE				imagenes/Rodrigo_Ocampo_Ceja.png	Rodrigo_Ocampo_Ceja	4.38	42	6.7	3.9	140		97	Aztecas UDLAP
	Roberto	Gómez	Castillo	16		7/22/2008	Monterrey	Nuevo León	812-000-0000	María Castillo	811-000-0000	parent52@example.com		Preparatoria	Prepa Tec Monterrey	8.8	2026	LB	LB	Ninguna	1.83	88	Prepa Tec Monterrey	Luis Fernández	818-000-0000	Campéon nacional	Fractura de antebrazo izquierdo	https://www.youtube.com/watch?v=fo8a4tvqLdE					imagenes/Roberto_Gómez_Castillo.png	Roberto_Gómez_Castillo							90	Autenticos UANL
	Alejandro	Ramírez	Vargas	17		10/15/2007	León	Guanajuato	477-000-0000	Ricardo Ramírez	477-000-0000	parent77@example.com		Preparatoria	Instituto Guanajuato	8.5	2025	OT	Ninguna	Ninguna	1.91	120	Toros de Guanajuato	Javier Domínguez	477-000-0000	All-State Capitán del equipo	N/A	https://www.youtube.com/watch?v=-lq19f3gj3s					imagenes/Alejandro_Ramírez_Vargas.png	Alejandro_Ramírez_Vargas							85	Uncommitted
	Daniel	Gutiérrez	Morales	17		7/11/2007	Monterrey	Nuevo León	812-000-0000	Juan Gutiérrez	811-000-0000	parent23@example.com		Preparatoria	Prepa Tec Monterrey	9	2025	RB	Ninguna	Returner	1.78	88	Borregos Prepa Tec Monterrey	Luis Fernández	818-000-0000	1,100 yardas terrestres en la temporada pasada	Desgarre de Pantorrila hace 2 años	https://www.youtube.com/watch?v=B2AkYERpVMQ					imagenes/Daniel_Gutiérrez_Morales.png	Daniel_Gutiérrez_Morales							94	Uncommitted
	Ricardo	Salazar	Torres	18		2/10/2006	Hermosillo	Sonora	662-000-0000	Manuel Salazar	662-000-0000	parent3@example.com		Preparatoria	Sonora Norte	8.8	2025	DL	DL	Ninguna	1.92	115	Toros Sonora Norte	Arturo Pérez	662-000-0000	Líder en TFL	Esguince leve del tobillo izquierdo	https://www.youtube.com/watch?v=i4pW18Ntw3k	https://youtu.be/pHnZn1d6KWY?si=NmszBt9IGjK2wq8O	https://youtu.be/B5Ozz3rgKHU?si=W1u8l_sAwyyIUt60			imagenes/Ricardo_Salazar_Torres.png	Ricardo_Salazar_Torres							97	Borregos CEM
	Sebastian	Martínez	López	17		4/15/2007	Puebla	Puebla	222-000-0000	Luis Martínez	222-000-0000	parent96@example.com		Preparatoria	Instituto Americano Puebla	9.5	2025	QB	Ninguna	Ninguna	1.88	92	Halcones del Instituto Americano	Roberto Delgado	222-000-0000	MVP en Juvenil Nacional	N/A	https://youtu.be/4zZ2hZIoWKI?si=UvA3J0gvCq8Vkelz					imagenes/Sebastian_Martínez_López.png	Sebastian_Martínez_López	5.06	28	7.3	4.4	98		93	Uncommitted
	Luis	Gómez	Ríos	16		9/25/2008	Querétaro	Querétaro	442-000-0000	Carlos Gómez	442-000-0000	parent91@example.com		Preparatoria	Colegio del Valle de Querétaro	8.9	2026	WR	Ninguna	Returner	1.76	68	Lobos del Colegio del Valle	Fernando Salinas	442-000-0000	Líder en recepciones y yardas aéreas en la temporada pasada (900 yardas, 12 touchdowns)	Esguince leve en la muñeca en 2022	https://youtu.be/pD2MDGRAae0?si=S9lmEElfKJkaLMK7					imagenes/Luis_Gómez_Ríos.png	Luis_Gómez_Ríos	4.6	31	7.1	4.2	112		94	Uncommitted
	Andrés	Ruiz	Férnandez	17		1/20/2007	Guadalajara	Jalisco	333-000-0000	María Fernández	333-000-0000	parent51@example.com		Preparatoria	Instituto Guadalajara	9.1	2025	CB	CB	Returner	1.79	78	Zorros del Instituto Guadalajara	Ignacio Salazar	333-000-0000	5 intercepciones durante la temporada 2024 en Juvenil	N/A	https://youtu.be/pyg_VPAfh8o?si=5SMRZKp8YJZiocq8					imagenes/Andrés_Ruiz_Férnandez.jpg	Andrés_Ruiz_Férnandez							91	Uncommitted
	Eduardo	Chávez	Mendoza	18		8/15/2006	Monterey	Nuevo León	818-000-0000	Roberto Chávez	818-000-0000	parent12@example.com		Preparatoria	Prepa Tec	8.7	2025	LB	LB	Ninguna	1.83	92	Borregos Prepa Tec Monterrey	Luis Fernández	818-000-0000	45 Tackles en 2024	Contusión leve en el hombro derecho en 2022	https://youtu.be/nYFeqHKYHUA?si=w4UQyMAHNAMi6mZs					imagenes/Eduardo_Chávez_Mendoza.jpg	Eduardo_Chávez_Mendoza							90	Uncommitted
	Rodrigo	Sánchez	Villanueva	17		2/22/2007	Toluca	Estado de México	722-000-0000	Juan Sánchez	722-000-0000	parent79@example.com		Preparatoria	UAEM	8.8	2025	TE	Ninguna	Ninguna	1.9	100	Potros UAEM	Francisco Morales	722-000-0000	Líder en recepciones por un Tight End en la liga local (25 recepciones, 400 yardas, 5 touchdowns)	n/a	https://youtu.be/vvzrG0OySa4?si=6K__SB-uheLpYkXm	https://youtu.be/DrEIUUygE10?si=ZrjBahxam0vs_ei7				imagenes/Rodrigo_Sánchez_Villanueva.png	Rodrigo_Sánchez_Villanueva							86	Uncommitted
